
de_cpu_guest_seconds_total	node_cpu_seconds_total	node_disk_io_now	node_intr_total
2.7	10.6	1	9.4
9.9	39.6	1	2.5
2.2	8.7	1	11.5
4.4	17.6	1	5.7
0.1	0.3	1	330.2
5.4	21.7	1	4.6
5.7	23	1	4.4
3.1	12.6	1	8
7.9	31.5	1	3.2
4.3	17.3	1	5.8
4.9	19.4	1	5.1
4.5	18	1	5.6
9.5	37.9	1	2.6
1	4.1	1	24.5
3.6	14.2	1	7
8.6	34.3	1	2.9
6.2	24.8	1	4
7.2	28.8	1	3.5
8	31.8	1	3.1
8.9	35.5	1	2.8
6.6	26.3	1	3.8
8.5	34.1	1	2.9
3.3	13.1	1	7.6
0.3	1.3	1	76.8
0.1	0.5	1	213.7
3	11.8	1	8.5
2.4	9.6	1	10.4
5.1	20.2	1	4.9
5.1	20.4	1	4.9
0.1	0.4	1	284.4
9.9	39.6	1	2.5
8.6	34.5	1	2.9
4	16	1	6.2
8.2	33	1	3
7.1	28.3	1	3.5
8.3	33.1	1	3
6.4	25.5	1	3.9
7.6	30.6	1	3.3
7.6	30.6	1	3.3
8.3	33.4	1	3
9.7	38.7	1	2.6
4.5	17.8	1	5.6
0.8	3.3	1	30.3
3.5	13.9	1	7.2
5.8	23.1	1	4.3
4.3	17.1	1	5.9
6.4	25.6	1	3.9
5.3	21.2	1	4.7
2.6	10.3	1	9.7
2.6	10.4	1	9.6
8.4	33.8	1	3
8.1	32.5	1	3.1
3.7	14.8	1	6.8
7.4	29.6	1	3.4
5.7	23	1	4.4
8.7	34.8	1	2.9
3.8	15.1	1	6.6
7.1	28.6	1	3.5
3.8	15	1	6.7
6	24	1	4.2
6.3	25.4	1	3.9
0.7	2.7	1	36.5
8.7	34.7	1	2.9
1.5	5.9	1	16.9
9.3	37.1	1	2.7
4.6	18.4	1	5.4
8	31.8	1	3.1
8.7	34.9	1	2.9
4	15.9	1	6.3
4.6	18.3	1	5.5
3.5	13.9	1	7.2
0.5	2	1	49.1
9.3	37.2	1	2.7
1.3	5.2	1	19.2
0.8	3	1	33.1
0.3	1.1	1	93.8
3.9	15.6	1	6.4
7.6	30.4	1	3.3
5.2	20.8	1	4.8
4.6	18.5	1	5.4
8.7	34.6	1	2.9
0.1	0.5	1	219.9
3.9	15.5	1	6.5
9.8	39	1	2.6
9.4	37.6	1	2.7
6.4	25.8	1	3.9
5.4	21.8	1	4.6
4.9	19.6	1	5.1
1.8	7.1	1	14
2.4	9.8	1	10.2
9.8	39.2	1	2.6
1.4	5.6	1	17.8
6.9	27.8	1	3.6
2.3	9.3	1	10.7
0.7	2.8	1	35.5
2.6	10.6	1	9.5
6.3	25	1	4
8.7	34.7	1	2.9
1.7	6.7	1	15
2.2	9	1	11.2
8.4	33.7	1	3
0.5	2.2	1	45.8
6.6	26.6	1	3.8
5.6	22.5	1	4.4
0.2	0.9	1	107.6
7	28.1	1	3.6
2	8.1	1	12.4
7.1	28.4	1	3.5
9.6	38.2	1	2.6
3.3	13	1	7.7
4.4	17.5	1	5.7
4.2	16.8	1	5.9
7.5	30.2	1	3.3
4.1	16.4	1	6.1
3.6	14.4	1	7
4.4	17.5	1	5.7
9.9	39.7	1	2.5
2.2	8.6	1	11.6
5.6	22.3	1	4.5
4.7	18.7	1	5.4
5.3	21.2	1	4.7
2.8	11.1	1	9
5.2	20.7	1	4.8
9	35.9	1	2.8
1.6	6.5	1	15.3
8.7	35	1	2.9
9.6	38.4	1	2.6
6.9	27.6	1	3.6
9.7	38.9	1	2.6
2.6	10.3	1	9.7
1.6	6.3	1	16
5.1	20.3	1	4.9
3.6	14.5	1	6.9
9.3	37.1	1	2.7
2.6	10.3	1	9.7
4.8	19	1	5.3
3.5	13.8	1	7.2
6.5	25.9	1	3.9
6.1	24.5	1	4.1
7.4	29.8	1	3.4
3.9	15.8	1	6.3
5.5	21.9	1	4.6
5.2	20.8	1	4.8
8.1	32.4	1	3.1
5.2	20.9	1	4.8
4.5	17.8	1	5.6
8.4	33.5	1	3
9.4	37.5	1	2.7
0.4	1.6	1	61.1
3.3	13.3	1	7.5
2	8	1	12.5
9	36	1	2.8
1.7	6.7	1	14.9
0.3	1	1	97.6
2.7	10.9	1	9.2
8	32	1	3.1
6.6	26.3	1	3.8
0.2	0.8	1	128.1
5.4	21.5	1	4.7
4	16.2	1	6.2
2.1	8.2	1	12.1
1.6	6.2	1	16.1
4.2	16.8	1	6
2.1	8.3	1	12
8.3	33.2	1	3
5	19.9	1	5
1.3	5.2	1	19.2
5.5	22.2	1	4.5
4.4	17.8	1	5.6
2.1	8.4	1	11.9
8.8	35.1	1	2.8
4.3	17.2	1	5.8
1.8	7.2	1	13.8
0.5	1.8	1	54.3
4.7	18.9	1	5.3
3.1	12.2	1	8.2
9.2	36.6	1	2.7
4.7	19	1	5.3
7.2	29	1	3.5
9.4	37.5	1	2.7
7.7	30.6	1	3.3
0.1	0.2	1	499.8
3.7	14.8	1	6.8
4.4	17.7	1	5.6
4	15.8	1	6.3
3.7	14.7	1	6.8
1.7	6.6	1	15.1
0.4	1.5	1	67.7
0.6	2.3	1	43.2
4.2	16.9	1	5.9
4	15.8	1	6.3
0.3	1.3	1	78.6
5.1	20.2	1	4.9
5.4	21.8	1	4.6
5.9	23.6	1	4.2
9.4	37.5	1	2.7
4	16	1	6.3
5.1	20.4	1	4.9
9.1	36.5	1	2.7
3.8	15.2	1	6.6
3.7	14.9	1	6.7
0.6	2.6	1	39.1
7.2	28.7	1	3.5
5.6	22.4	1	4.5
9.2	36.7	1	2.7
4	16.1	1	6.2
2.3	9.2	1	10.9
2.6	10.6	1	9.4
1.3	5.2	1	19.1
9	36.2	1	2.8
7	27.9	1	3.6
1.1	4.3	1	23.5
4.5	18.1	1	5.5
4.9	19.5	1	5.1
9.3	37.2	1	2.7
8	32	1	3.1
7.5	30.2	1	3.3
7.6	30.4	1	3.3
6.5	25.9	1	3.9
3	11.8	1	8.5
9.1	36.3	1	2.8
3	11.8	1	8.5
3	12	1	8.4
0.6	2.2	1	45
8.3	33.2	1	3
5.2	20.8	1	4.8
1	3.9	1	25.5
4.7	18.6	1	5.4
9.5	38	1	2.6
4	15.9	1	6.3
6.2	24.9	1	4
0.3	1.3	1	78.4
2.1	8.5	1	11.7
0.7	2.7	1	36.8
5.3	21	1	4.8
5.3	21.1	1	4.7
7.2	28.9	1	3.5
6.3	25.1	1	4
6.9	27.8	1	3.6
0.8	3.4	1	29.5
1.3	5.3	1	18.8
2.1	8.3	1	12.1
5.2	20.7	1	4.8
1.5	6.1	1	16.4
0.6	2.4	1	41.6
1.3	5.1	1	19.5
1.4	5.7	1	17.5
4.9	19.6	1	5.1
8.3	33.2	1	3
3.6	14.3	1	7
7.6	30.3	1	3.3
7.1	28.3	1	3.5
8	32.1	1	3.1
1.2	4.6	1	21.7
9.6	38.5	1	2.6
0.8	3.3	1	30.6
5.2	20.8	1	4.8
3.8	15.1	1	6.6
3.8	15.3	1	6.5
1.9	7.7	1	12.9
8	32.2	1	3.1
2.1	8.2	1	12.1
0.7	2.6	1	38.2
4.6	18.6	1	5.4
1.4	5.7	1	17.7
7.8	31.3	1	3.2
2.4	9.8	1	10.2
6.3	25.3	1	4
3.2	12.7	1	7.9
0.1	0.6	1	178.2
8.5	34	1	2.9
9.6	38.5	1	2.6
0.3	1	1	96.9
5.3	21.3	1	4.7
2.5	10	1	10
9.1	36.4	1	2.7
6.5	25.9	1	3.9
8.9	35.6	1	2.8
4.7	18.9	1	5.3
3.1	12.3	1	8.1
6.4	25.4	1	3.9
8.4	33.5	1	3
7.9	31.5	1	3.2
3.9	15.5	1	6.4
0	0	1	4520.1
7.2	29	1	3.4
2.6	10.5	1	9.5
6.8	27.3	1	3.7
5.3	21.3	1	4.7
9.8	39.1	1	2.6
9.4	37.6	1	2.7
1.2	4.9	1	20.6
4.2	16.9	1	5.9
0	0.1	1	992
4.1	16.6	1	6
7.5	30.2	1	3.3
8.5	34.1	1	2.9
5	20	1	5
1.3	5	1	19.8
7.4	29.7	1	3.4
4.6	18.5	1	5.4
4.9	19.4	1	5.2
1.6	6.3	1	15.8
5.5	21.9	1	4.6
3.7	14.9	1	6.7
8.2	32.6	1	3.1
0.5	1.9	1	53.6
7.5	30.1	1	3.3
8.9	35.5	1	2.8
3	12	1	8.4
9.2	36.6	1	2.7
9.7	38.9	1	2.6
8.6	34.5	1	2.9
2.6	10.6	1	9.5
7.2	28.9	1	3.5
9.4	37.8	1	2.6
2.3	9.3	1	10.7
4.6	18.5	1	5.4
7.9	31.5	1	3.2
2.8	11.3	1	8.9
2.7	11	1	9.1
7	28.1	1	3.6
6.4	25.6	1	3.9
8.2	32.7	1	3.1
9.2	36.8	1	2.7
5.2	20.7	1	4.8
8.3	33.2	1	3
0	0.1	1	1560.4
1.3	5	1	20
0.4	1.6	1	62
0.2	0.6	1	158
2.7	10.7	1	9.4
8.9	35.6	1	2.8
0.8	3	1	32.9
1.2	4.9	1	20.3
8.5	34	1	2.9
5.8	23.2	1	4.3
5.8	23.4	1	4.3
1.2	4.8	1	20.7
7.8	31.3	1	3.2
0.8	3	1	33.2
7.6	30.4	1	3.3
0.4	1.7	1	59.1
6.1	24.2	1	4.1
5	19.9	1	5
8.2	32.9	1	3
9.1	36.3	1	2.8
2.1	8.3	1	12.1
5.7	22.8	1	4.4
5.3	21.1	1	4.7
0.4	1.6	1	63.6
5.2	20.7	1	4.8
2.6	10.4	1	9.6
3.2	12.8	1	7.8
7.1	28.3	1	3.5
4.9	19.4	1	5.1
2	8.1	1	12.4
4.5	17.9	1	5.6
4.4	17.4	1	5.7
7.1	28.4	1	3.5
2.2	8.7	1	11.5
4.6	18.2	1	5.5
0	0.2	1	554.2
2.7	10.7	1	9.3
1.4	5.6	1	17.8
3.2	12.8	1	7.8
3.2	12.7	1	7.9
8.4	33.6	1	3
0.4	1.8	1	56.1
6.4	25.4	1	3.9
8.7	34.7	1	2.9
4.3	17.3	1	5.8
3.5	14	1	7.2
6.1	24.3	1	4.1
4.6	18.5	1	5.4
6.1	24.4	1	4.1
1.3	5.2	1	19.1
6.5	26.1	1	3.8
8.9	35.5	1	2.8
5.2	21	1	4.8
3.1	12.3	1	8.2
6.4	25.7	1	3.9
5.8	23.2	1	4.3
1.5	6.2	1	16.2
3.9	15.6	1	6.4
0.2	0.8	1	121.9
9.8	39.1	1	2.6
8.6	34.4	1	2.9
4.6	18.5	1	5.4
0.6	2.6	1	38.7
8.5	34	1	2.9
10	39.9	1	2.5
0.1	0.4	1	226.2
5.8	23.2	1	4.3
2	8.1	1	12.4
6.3	25.4	1	3.9
5.6	22.4	1	4.5
7.4	29.7	1	3.4
0.9	3.6	1	28
2.7	10.6	1	9.4
9.1	36.2	1	2.8
6.8	27	1	3.7
9.4	37.6	1	2.7
5.5	22.1	1	4.5
4.7	18.7	1	5.4
9.8	39.2	1	2.6
2.5	9.8	1	10.2
2.5	10.2	1	9.8
8.5	33.9	1	3
2.5	10.1	1	9.9
3.9	15.6	1	6.4
7.4	29.7	1	3.4
4.8	19.3	1	5.2
8.6	34.6	1	2.9
0.3	1.2	1	81.6
5.5	22.1	1	4.5
1.2	4.9	1	20.2
6.2	25	1	4
5.8	23.3	1	4.3
5.9	23.6	1	4.2
7.4	29.5	1	3.4
1.8	7.2	1	13.8
0.1	0.5	1	183
7.3	29.4	1	3.4
8.6	34.3	1	2.9
9.5	37.9	1	2.6
5.9	23.5	1	4.2
1.8	7.2	1	13.9
7.6	30.4	1	3.3
1.5	5.8	1	17.2
1.8	7.3	1	13.8
5.8	23.2	1	4.3
3.2	12.7	1	7.9
9.1	36.5	1	2.7
4.9	19.7	1	5.1
0.3	1.4	1	73.3
0.9	3.5	1	29
0.4	1.7	1	57.7
7.1	28.5	1	3.5
2.6	10.5	1	9.5
7.4	29.4	1	3.4
3.4	13.5	1	7.4
3.9	15.5	1	6.5
0.4	1.6	1	63.2
8.4	33.7	1	3
4.8	19	1	5.3
4.4	17.6	1	5.7
9.7	38.9	1	2.6
0.7	2.9	1	34.8
4.1	16.5	1	6.1
4.3	17.2	1	5.8
8	32.2	1	3.1
2.2	8.7	1	11.6
7.8	31.3	1	3.2
2.3	9	1	11.1
5.3	21.3	1	4.7
8.1	32.5	1	3.1
9.6	38.4	1	2.6
4.4	17.6	1	5.7
0.5	2.1	1	48.5
0.3	1.1	1	94.5
6.7	26.8	1	3.7
3.5	14	1	7.2
5.8	23.3	1	4.3
8.6	34.4	1	2.9
9.5	38.1	1	2.6
7.7	30.9	1	3.2
6.4	25.8	1	3.9
9.8	39.4	1	2.5
7	28.1	1	3.6
8.9	35.5	1	2.8
2.1	8.2	1	12.2
7.1	28.3	1	3.5
0.1	0.5	1	205.6
4.4	17.4	1	5.7
4.2	16.8	1	5.9
7.9	31.5	1	3.2
0.7	2.9	1	34.9
0.7	2.7	1	36.9
0.6	2.6	1	39.1
6.2	24.7	1	4.1
0.6	2.4	1	41.9
3.8	15.4	1	6.5
1.7	6.7	1	14.9
4.7	18.9	1	5.3
9.4	37.7	1	2.6
1.8	7.2	1	13.9
3.5	14.2	1	7
4.8	19.1	1	5.2
6.2	24.8	1	4
0.1	0.3	1	310.6
9.9	39.5	1	2.5
9.4	37.4	1	2.7
4.8	19.1	1	5.2
4	16.2	1	6.2
1.6	6.5	1	15.5
0.9	3.7	1	27.3
6.3	25.2	1	4
7.6	30.2	1	3.3
0.9	3.5	1	28.8
7.4	29.4	1	3.4
1.5	6	1	16.8
1.4	5.8	1	17.3
1.1	4.6	1	21.9
0	0.1	1	908.7
4.8	19.1	1	5.2
7.3	29	1	3.4
8.3	33.1	1	3
7.8	31	1	3.2
1.3	5.2	1	19.1
10	39.9	1	2.5
8.5	34	1	2.9
8.2	32.9	1	3
7.2	28.9	1	3.5
5	19.8	1	5
2.6	10.2	1	9.8
5.2	20.6	1	4.8
3.2	12.9	1	7.7
1.5	6.2	1	16.2
3.7	14.8	1	6.8
1.9	7.5	1	13.3
3.6	14.3	1	7
1.2	4.8	1	21
2.1	8.6	1	11.7
4.2	16.9	1	5.9
1.7	6.8	1	14.7
9.9	39.7	1	2.5
8.8	35	1	2.9
9.3	37.3	1	2.7
4.3	17.2	1	5.8
3.2	12.7	1	7.9
5.9	23.5	1	4.3
7.1	28.4	1	3.5
4.2	16.9	1	5.9
6.3	25.2	1	4
0.2	0.8	1	129.6
5.8	23.2	1	4.3
7.7	31	1	3.2
6.4	25.5	1	3.9
8.8	35.2	1	2.8
1	4.1	1	24.2
1.3	5	1	19.9
0.7	2.9	1	34.1
9.3	37.2	1	2.7
2.9	11.4	1	8.7
4.2	16.9	1	5.9
3.4	13.5	1	7.4
91.4	365.5	5	0.3
50.5	202.2	5	0.5
32	128.1	5	0.8
73.2	292.7	5	0.3
3.7	14.6	5	6.8
40.2	160.6	5	0.6
79	316.1	5	0.3
79	316	5	0.3
81.8	327.3	5	0.3
52.4	209.8	5	0.5
48.2	192.8	5	0.5
86.8	347.2	5	0.3
81.2	324.9	5	0.3
41.6	166.4	5	0.6
53.4	213.6	5	0.5
94.1	376.3	5	0.3
52.2	208.9	5	0.5
79.2	317	5	0.3
87.7	351	5	0.3
66.9	267.5	5	0.4
74.7	298.8	5	0.3
88.6	354.4	5	0.3
83.8	335.4	5	0.3
78.9	315.8	5	0.3
96.3	385.1	5	0.3
15	59.9	5	1.7
67	267.9	5	0.4
75.8	303.3	5	0.3
60.6	242.2	5	0.4
62	248.2	5	0.4
5.1	20.5	5	4.9
34	135.8	5	0.7
93.6	374.3	5	0.3
30	120	5	0.8
23.3	93.3	5	1.1
41.4	165.6	5	0.6
12.6	50.2	5	2
20.8	83.2	5	1.2
96.9	387.8	5	0.3
28.3	113	5	0.9
26.6	106.5	5	0.9
66.6	266.5	5	0.4
78.2	312.9	5	0.3
86.2	344.7	5	0.3
0.8	3.3	1	30.7
3.2	12.6	1	7.9
4.4	17.6	1	5.7
5	20.1	1	5
4.8	19.3	1	5.2
5.2	20.9	1	4.8
0	0.2	1	554.4
6.3	25.3	1	4
6.3	25.2	1	4
1	4.1	1	24.4
0.6	2.5	1	39.3
2.6	10.5	1	9.5
6.6	26.5	1	3.8
3.8	15.4	1	6.5
1.9	7.7	1	13.1
8.9	35.6	1	2.8
3.2	12.8	1	7.8
8	32.1	1	3.1
1.6	6.2	1	16.1
6.5	25.9	1	3.9
3.5	14.2	1	7.1
8.8	35.2	1	2.8
8.5	34.2	1	2.9
7.5	29.9	1	3.3
3	11.8	1	8.5
9.6	38.3	1	2.6
8.1	32.3	1	3.1
0.4	1.8	1	56.8
1.3	5.1	1	19.5
5.3	21.1	1	4.7
1	3.9	1	25.4
2.5	10.1	1	9.9
8.2	32.6	1	3.1
3.7	14.6	1	6.8
9.1	36.3	1	2.8
4.4	17.6	1	5.7
4.2	16.6	1	6
1.5	5.9	1	16.8
2.9	11.6	1	8.7
8.3	33.2	1	3
0.1	0.5	1	185.4
8.3	33.1	1	3
7.2	29	1	3.5
0.6	2.6	1	38.6
6.7	26.9	1	3.7
1.6	6.4	1	15.6
3.1	12.5	1	8
7.6	30.6	1	3.3
2.1	8.5	1	11.7
7.9	31.5	1	3.2
0.8	3.3	1	30.7
8	31.8	1	3.1
7.3	29.1	1	3.4
6.8	27	1	3.7
3	12.1	1	8.2
5.7	22.7	1	4.4
6	23.9	1	4.2
9.1	36.2	1	2.8
3	11.9	1	8.4
7.3	29.1	1	3.4
9.1	36.2	1	2.8
4.7	18.8	1	5.3
1.5	6.2	1	16.1
1.7	6.7	1	14.9
6.6	26.6	1	3.8
8.5	34.1	1	2.9
7.4	29.7	1	3.4
8.5	34.1	1	2.9
4.3	17.2	1	5.8
5.5	21.9	1	4.6
2.4	9.6	1	10.4
1.7	6.7	1	14.9
6.2	24.6	1	4.1
4.2	17	1	5.9
1.2	4.9	1	20.5
0.4	1.6	1	63.6
1.6	6.5	1	15.5
8.9	35.7	1	2.8
0.6	2.2	1	45.2
7.7	30.6	1	3.3
8.4	33.7	1	3
6.7	27	1	3.7
2.5	10	1	10
5.9	23.6	1	4.2
1.2	4.7	1	21.4
1.2	4.7	1	21.4
3.8	15.2	1	6.6
3.2	13	1	7.7
1.3	5	1	19.9
0.4	1.8	1	56.5
0	0.1	1	925.1
3.2	12.8	1	7.8
4.8	19.3	1	5.2
5.9	23.6	1	4.2
8.5	34.1	1	2.9
5.2	20.8	1	4.8
4.4	17.7	1	5.6
9.8	39.3	1	2.5
9.8	39	1	2.6
2.3	9.1	1	11
3.7	14.7	1	6.8
6.9	27.6	1	3.6
9.9	39.5	1	2.5
7.1	28.2	1	3.5
0.2	0.8	1	119.2
0	0.1	1	1209.6
7.1	28.5	1	3.5
1.9	7.4	1	13.5
8	32.1	1	3.1
9.6	38.6	1	2.6
20.5	81.9	1	1.2
38.9	155.7	1	0.6
20.4	81.5	1	1.2
20.5	81.8	1	1.2
44.4	177.5	1	0.6
61.7	246.9	5	0.4
67.5	270.1	5	0.4
20.1	80.2	5	1.2
6.6	26.3	5	3.8
40.5	162	5	0.6
43.4	173.7	5	0.6
67.1	268.5	5	0.4
28.3	113.4	5	0.9
24	95.9	5	1
54.1	216.5	5	0.5
40.2	160.9	5	0.6
77.4	309.7	5	0.3
43.4	173.8	5	0.6
64.6	258.5	5	0.4
13	52	5	1.9
13.7	54.8	1	1.8
22.8	91.2	1	1.1
37.6	150.4	1	0.7
7.9	31.8	1	3.1
6.6	26.6	1	3.8
34	135.9	1	0.7
7.8	31.3	1	3.2
3.5	14	1	7.1
68	272	1	0.4
54.1	216.4	1	0.5
57.8	231.2	1	0.4
86.3	345.3	1	0.3
93.9	375.7	1	0.3
0.5	2	1	51.3
4.8	19.3	1	5.2
4.3	17.3	1	5.8
7	28.2	1	3.6
7.9	31.7	1	3.2
0.9	3.5	1	28.9
0.6	2.5	1	39.3
0.8	3	1	32.9
4.5	18	1	5.6
1.6	6.2	1	16.1
5.5	22.1	1	4.5
1.1	4.3	1	23.2
8.5	34.2	1	2.9
9	35.8	1	2.8
8.6	34.4	1	2.9
0.4	1.8	1	56.3
3.4	13.4	1	7.4
5.7	23	1	4.3
7.3	29.4	1	3.4
3.4	13.8	1	7.3
6.7	27	1	3.7
0.2	0.7	1	134.4
7.7	30.9	1	3.2
9.5	37.9	1	2.6
3.2	12.8	1	7.8
0.6	2.4	1	42.3
8.2	32.7	1	3.1
2.5	10.1	1	9.9
4.8	19.1	1	5.2
6	24.1	1	4.2
6.7	26.7	1	3.7
9.7	38.8	1	2.6
6	24.1	1	4.2
8.7	34.8	1	2.9
3.8	15.2	1	6.6
3.5	14	1	7.2
7.2	28.6	1	3.5
3.6	14.5	1	6.9
8.6	34.5	1	2.9
8.7	34.9	1	2.9
4.8	19.1	1	5.2
8.7	34.9	1	2.9
1.2	5	1	20.1
1.9	7.5	1	13.3
5.4	21.7	1	4.6
6.7	26.9	1	3.7
7.7	30.6	1	3.3
3.2	12.7	1	7.9
7.2	28.6	1	3.5
7	28.2	1	3.5
8.2	32.8	1	3.1
8.5	34.1	1	2.9
3.3	13.4	1	7.5
0.8	3.1	1	32
3.3	13.3	1	7.5
4.4	17.6	1	5.7
0.7	2.6	1	38.4
5.1	20.4	1	4.9
4.3	17.4	1	5.8
0.4	1.5	1	64.9
6.8	27.2	1	3.7
7.5	29.8	1	3.4
8.5	34	1	2.9
9.8	39.2	1	2.6
3.1	12.5	1	8
7	28	1	3.6
9.1	36.4	1	2.7
9.8	39.4	1	2.5
0.9	3.4	1	29
7.9	31.7	1	3.1
4.8	19.2	1	5.2
5.7	22.8	1	4.4
8.6	34.4	1	2.9
6.3	25.4	1	3.9
8.4	33.5	1	3
6.6	26.6	1	3.8
1	3.9	1	25.7
0.5	2.1	1	47.8
9.9	39.4	1	2.5
10	40	1	2.5
7.3	29	1	3.4
9	36.1	1	2.8
0.3	1.1	1	92.1
3.9	15.8	1	6.3
9.9	39.5	1	2.5
7.9	31.4	1	3.2
0.9	3.6	1	27.7
3.5	13.8	1	7.2
0.6	2.5	1	40
7.5	30	1	3.3
1.8	7.3	1	13.7
1.3	5.1	1	19.6
6.6	26.4	1	3.8
2.7	10.7	1	9.4
6.5	26	1	3.8
7.4	29.7	1	3.4
6.7	27	1	3.7
2.3	9.4	1	10.6
9.7	39	1	2.6
